id;description_zh;description_en;part_number;name_en;name_zh;category_en;category_zh;manufacturing_country_en;manufacturing_country_zh;condition_zh;condition_en;quality;car_brand_en;car_brand_zh;car_model_en;car_model_zh;part_year;factory_part_zh;factory_part_en;factory_name_zh;factory_name_en;factory_phone_number;factory_site_url
1189;重型万向节轴横梁，专为精确传动系统对准和减少振动而设计。;Heavy-duty Cardan Shaft Cross Member engineered for precise drivetrain alignment and vibration reduction.;3405A058;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;变速器/传动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 014,00;万向节;Universal joint;晋江市航万汽车部件有限公司;Jinjiang Hangwan Automobile Parts Co., Ltd.;15906099888,00;http://www.qgwx.com/
1190;坚固耐用的右上摆臂，专为提升悬挂系统性能和控制而设计。;Durable Upper Right Arm designed for suspension system performance and control.;4010A014;Upper right control arm;右上控制臂;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 014,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
1191;坚固耐用的左上摆臂，专为提升悬挂系统性能和控制而设计。;Durable Upper Left Arm designed for suspension system performance and control.;4010A013;Upper left control arm;左上控制臂;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 014,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
1192;坚固耐用的上窗扇设计，确保结构完整性。;Durable Upper Sash designed for structural integrity.;4010A015;Upper ball joint;上球头;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 014,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
1193;坚固耐用的分动箱，用于将动力分配到各个车轴。;Robust Transfer Case designed for distributing power to the axles.;3242A142;Transfer case;分动箱;Drivetrain;传动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 014,00;;#VALUE!;;;;
1194;经久耐用的前传动轴，专为高效动力传输而设计。;Durable Front Driveshaft engineered for efficient power delivery.;3401A550;Front driveshaft;前传动轴;Drivetrain;传动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 014,00;;#VALUE!;;;;
1195;经久耐用的中间万向节轴，专为可靠的动力传输而设计。;Durable Intermediate Cardan Shaft engineered for reliable power transfer.;3401A448;Center driveshaft;中间传动轴;Drivetrain;传动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 014,00;;#VALUE!;;;;
1196;经久耐用的后驱动轴，专为可靠的动力传输而设计。;Durable Rear Drive Shaft engineered for reliable power transfer.;3401A448;Rear driveshaft;后传动轴;Drivetrain;传动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 014,00;;#VALUE!;;;;
1197;经久耐用的中间万向节轴，专为可靠的动力传输而设计。;Durable Intermediate Cardan Shaft engineered for reliable power transfer.;3401A448;Center driveshaft;中间传动轴;Drivetrain;传动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 017,00;;#VALUE!;;;;
1198;经久耐用的后驱动轴，专为可靠的动力传输而设计。;Durable Rear Drive Shaft engineered for reliable power transfer.;3401A448;Rear driveshaft;后传动轴;Drivetrain;传动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 017,00;;#VALUE!;;;;
1199;高性能发动机油，专为实现最佳发动机润滑和保护而配制。;High-performance Engine Oil formulated for optimal engine lubrication and protection.;15x40;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1200;高效发动机机油滤清器，旨在去除污染物并保护发动机部件。;High-efficiency Engine Oil Filter designed for removing contaminants and protecting engine components.;15208312100;Oil filter;机油滤清器;Engine;引擎;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
1201;专为优化发动机温度调节和防腐蚀而配制的冷却液（防冻液）。;Coolant (Antifreeze) formulated for optimal engine temperature regulation and corrosion protection.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1202;变速箱油，旨在提供卓越的润滑和齿轮保护。;Gearbox Oil designed to provide superior lubrication and gear protection.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1203;专为高效燃油过滤和发动机性能而设计的燃油滤清器。;Fuel Filter engineered for high-efficiency fuel filtration and engine performance.;1770A337;Fuel filter;燃油滤清器;Fuel System;燃油系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
1204;空气滤清器提供卓越的过滤性能，保护发动机免受污染物侵害。;Air Filter providing superior filtration to protect the engine from contaminants.;1500A608;Air filter;空气滤清器;Engine;引擎;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
1205;火花塞的设计旨在实现最佳燃烧和发动机效率。;Spark Plug designed for optimal combustion and engine efficiency.;1820A019;Spark plug;火花塞;Engine;引擎;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;火花塞;spark plug;宁波军士火花塞制造有限公司;Ningbo Noncommissioned Office Spark Plug Manufacture Co., Ltd.;0574-86691884;www.ncosp.com
1206;灯泡提供高强度照明，增强可见度和安全性。;Bulb offering high-intensity illumination for enhanced visibility and safety.;MB362907;Ignition coil;点火线圈;Engine;引擎;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;火花塞;spark plug;宁波军士火花塞制造有限公司;Ningbo Noncommissioned Office Spark Plug Manufacture Co., Ltd.;0574-86691884;www.ncosp.com
1207;发动机皮带（链条）的设计旨在实现可靠的动力传输和发动机性能。;Engine Belt (Chain) engineered for reliable power transmission and engine performance.;6PK1495;Engine timing chain;发动机正时链条;Engine;引擎;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;皮带;belt;河北省巨鹿县东风内燃机配件厂;Hebei Province Julu County Dongfeng Internal Combustion Engine Parts Factory;0319-4333791;
1208;发动机支架提供隔振和发动机支撑。;Engine Mount providing vibration isolation and engine support.;MR910557;Engine mount;发动机支架;Engine;引擎;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1209;前刹车片提供稳定的制动性能和更强的制动力。;Front Brake Pads offering consistent braking performance and enhanced stopping power.;4605A198;Front brake caliper;前制动卡钳;Brake System;制动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
1210;后刹车片提供可靠的制动性能和安全性。;Rear Brake Pads delivering reliable braking performance and safety.;4600A122;Rear brake caliper;后制动卡钳;Brake System;制动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
1211;冰箱（空调）空气过滤器旨在去除污染物并保持最佳空气质量。;Refrigerator (Air Conditioner) Air Filter designed to remove contaminants and maintain optimal air quality.;7803A112;Air conditioning air filter;空调空气滤清器;Air Conditioning;空调;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
1212;冰箱（空调）压缩机提供高效的制冷剂压缩，以实现最佳冷却效果。;Refrigerator (Air Conditioner) Compressor providing efficient refrigerant compression for optimal cooling.;7813A673;Air conditioning compressor;空调压缩机;Air Conditioning;空调;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1213;冰箱（空调）氟利昂已测量并充注，以达到最佳制冷性能。;Refrigerator (Air Conditioner) Freon measured and filled for optimal cooling performance.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;空调;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1214;前减震器设计旨在提供卓越的乘坐舒适性和操控性。;Front Shock Absorber designed for superior ride comfort and handling.;4062A099;Front shock absorber;前减震器;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
1215;后减震器设计旨在提供卓越的乘坐舒适性和操控性。;Rear Shock Absorber designed for superior ride comfort and handling.;4162A289;Rear shock absorber;后减震器;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
1216;前减震器设计旨在提供卓越的乘坐舒适性和操控性。;Front Shock Absorber designed for superior ride comfort and handling.;4062A099;Front shock absorber mount;前减震器胶垫;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
1217;进行车轮定位调整（外倾角）以优化车辆操控性和轮胎磨损。;Wheel Alignment Adjustment (Camber) performed to optimize vehicle handling and tire wear.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1218;进行诊断服务，以识别和解决车辆问题。;Diagnostic service performed to identify and address vehicle issues.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1219;凸轮轴传感器专为实现精确的发动机正时和性能而设计。;Camshaft Sensor engineered for precise engine timing and performance.;1865A126;Camshaft;凸轮轴;Engine / Internal Parts;发动机/内部零件;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
1220;曲轴传感器提供精确的发动机转速和位置数据。;Crankshaft Sensor providing accurate engine speed and position data.;1865A126;Crankshaft;曲轴;Engine / Internal Parts;发动机/内部零件;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
1221;催化剂传感器，用于监测和优化催化转化器的效率。;Catalyst Sensor designed to monitor and optimize catalytic converter efficiency.;1588A656;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;发动机/排放传感器;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
1222;机油传感器提供精确的机油压力监测，以保护发动机。;Oil Sensor providing accurate oil pressure monitoring for engine protection.;MN163743;Oil pressure sensor;机油压力传感器;Engine / Sensors;发动机/传感器;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
1223;ABS传感器为防抱死制动系统提供关键的车轮速度数据。;ABS Sensor providing critical wheel speed data for anti-lock braking systems.;4670B006;ABS sensor;ABS传感器;Braking System / Sensors;制动系统/传感器;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
1224;前轮支撑盘专为耐用性和可靠的制动性能而设计。;Front Support Disc engineered for durability and reliable brake performance.;4615A201;Front brake disc;前刹车盘;Braking System;制动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
1225;后轮支撑盘采用耐用性和可靠的制动性能设计。;Rear Support Disc engineered for durability and reliable brake performance.;4615A205;Rear brake disc;后刹车盘;Braking System;制动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
1226;前后稳定杆橡胶件可增强悬架稳定性和操控性。;Front and Rear Stabilizer Rubbers providing enhanced suspension stability and handling.;4056A219;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1227;右下摆臂提供强大的悬挂支撑和精准的车轮控制。;Lower Right Arm offering robust suspension support and precise wheel control.;4013A472;Lower right control arm;右下控制臂;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
1228;左下摆臂提供强大的悬挂支撑和精准的车轮控制。;Lower Left Arm offering robust suspension support and precise wheel control.;4013A471;Lower left control arm;左下控制臂;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
1229;下部皮带轮设计用于高效动力传输和发动机附件运行。;Lower Pulley designed for efficient power transmission and engine accessory operation.;4013A090;Lower ball joint;下球头;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
1230;轮毂轴承设计用于实现车轮平稳旋转和持久耐用。;Hub Bearing engineered for smooth wheel rotation and long-lasting durability.;MR992374;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;悬架/车轮组件;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1231;稳定杆连杆设计用于增强车辆的稳定性和操控性。;Stabilizer Bar Link designed for enhanced vehicle stability and handling.;4056A198;Stabilizer link;稳定杆连接杆;Suspension;暂停;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
1232;专为安全高效地输送制动液而设计的制动软管。;Brake Hose designed for safe and efficient brake fluid transfer.;4650C129;Brake hose;刹车软管;Braking System;制动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
1233;前刹车支架经过精心设计，可实现最佳刹车片对齐和性能。;Front Brake Support engineered for optimal brake pad alignment and performance.;4605A202;Front brake caliper;前刹车卡钳;Braking System;制动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;制动钳;Brake caliper;山东春城汽车零部件制造有限公司;Shandong Chuncheng Automotive Parts Manufacturing Co., Ltd;15688882128,00;
1234;后刹车支架经过精心设计，可实现最佳刹车片对齐和性能。;Rear Brake Support engineered for optimal brake pad alignment and performance.;MBS34319;Rear brake caliper;后刹车卡钳;Braking System;制动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;制动钳;Brake caliper;山东春城汽车零部件制造有限公司;Shandong Chuncheng Automotive Parts Manufacturing Co., Ltd;15688882128,00;
1235;制动液设计用于实现最佳液压和制动性能。;Brake Fluid designed for optimal hydraulic pressure and braking performance.;DOT 4;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1236;动力转向系统设计旨在提供灵敏舒适的车辆操控体验。;Power Steering Wheel designed for responsive and comfortable vehicle control.;4450A238;Power steering rack;转向助力齿条;Steering / Power Steering;转向/动力转向;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;转向拉杆;Steering tie rod;济南泽发共赢配件制造有限公司;JINAN ZEFA WIN WIN ACCESSORIES MANUFACTURING CO.，LTD.;0531-82886188;
1237;专为高效润滑动力转向系统而设计的动力转向油。;Power Steering Oil designed for efficient power steering system lubrication.;ATF 3;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1238;专为实现最佳发动机冷却和热管理而设计的水冷散热器。;Water Radiator engineered for optimal engine cooling and thermal management.;1350A809;Radiator;散热器;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;散热器;heat sink;山东欣亿翔汽车零部件有限公司;SHANDONG XINYIXIANG AUTOMOTIVE PARTS CO.，LTD.;0158-63654999;https://www.sdxinyixiang.com/
1239;专为高效冷却发动机机油和调节温度而设计的机油散热器。;Oil Radiator designed for efficient engine oil cooling and temperature regulation.;1240A100;Oil cooler;机油冷却器;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;散热器;heat sink;山东欣亿翔汽车零部件有限公司;SHANDONG XINYIXIANG AUTOMOTIVE PARTS CO.，LTD.;0158-63654999;https://www.sdxinyixiang.com/
1240;专为有效舱内供暖和提升热舒适度而设计的取暖炉散热器。;Heating Stove Radiator designed for effective cabin heating and thermal comfort.;7801A382;Heater core;暖风散热器;Cooling / Heating System;制冷/制热系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;散热器;heat sink;山东欣亿翔汽车零部件有限公司;SHANDONG XINYIXIANG AUTOMOTIVE PARTS CO.，LTD.;0158-63654999;https://www.sdxinyixiang.com/
1241;专为精确调节发动机温度和实现最佳性能而设计的恒温器。;Thermostat engineered for precise engine temperature regulation and optimal performance.;1305A163;Thermostat;恒温器;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;节温器;thermostat;慈溪市方佳汽配有限公司;Cixi Fangjia Auto Parts Co.,Ltd;0574-63406888;www.dfsyb.com
1242;水温传感器，专为精确监测和控制发动机温度而设计。;Water Temperature Sensor designed for accurate engine temperature monitoring and control.;1308A12;Coolant temperature sensor;冷却液温度传感器;Engine / Sensors;发动机/传感器;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
1243;上部水箱管道经过精心设计，可实现高效的冷却液流动和热管理。;Upper Water Radiator Pipe engineered for efficient coolant flow and thermal management.;1370A126;Upper radiator hose;散热器上水管;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
1244;下部散热器管道经过精心设计，可实现高效的冷却液流动和热管理。;Lower Radiator Pipe engineered for efficient coolant flow and thermal management.;MN135045;Lower radiator hose;散热器下水管;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
1245;专为在供暖系统内有效输送冷却剂而设计的供暖炉管道。;Heating Furnace Pipe designed for effective coolant transfer within the heating system.;MB380850;Heater hose;暖风水管;Cooling / Heating System;制冷/制热系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
1246;燃油喷射器清洁剂，旨在提高燃油效率和发动机性能。;Fuel Injector Cleaner designed for enhanced fuel efficiency and engine performance.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1247;这款水泵专为高效冷却液循环和发动机冷却而设计。;Water Pump engineered for efficient coolant circulation and engine cooling.;1300A140;Water pump;水泵;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;水泵;water pump;临清市锡柴水泵有限公司;LINQINGSHI XICHAISHUIBENG CO.LTD.;0635-2613435;http://sdxcsb.cn/
1248;燃油泵的设计旨在为发动机提供可靠的燃油供应。;Fuel Pump designed for reliable fuel delivery to the engine.;1718A111;Fuel pump;燃油泵;Fuel System;燃油系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;水泵;water pump;临清市锡柴水泵有限公司;LINQINGSHI XICHAISHUIBENG CO.LTD.;0635-2613435;http://sdxcsb.cn/
1249;起动电机，设计用于提供可靠的发动机启动性能。;Starter Motor engineered for dependable engine starting performance.;1810A331;Starter motor;起动机;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
1250;起动传动装置，设计用于可靠启动发动机和动力传输。;Starter Transmission designed for reliable engine starting and power transfer.;MD618963;Starter drive;起动机单向器;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
1251;启动开关，设计用于可靠启动发动机和控制电气系统。;Starter Switch designed for reliable engine starting and electrical system control.;ME753349;Starter solenoid;起动机电磁开关;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
1252;起动碳膜专为与起动电机进行高效电接触而设计。;Starter Carbon engineered for efficient electrical contact within the starter motor.;ME700140;Starter brush;起动机碳刷;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
1253;启动锚专为可靠的发动机启动和电气系统性能而设计。;Starter Anchor designed for reliable engine starting and electrical system performance.;MD619158;Starter coil;起动机绕组;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
1254;专为车辆可靠供电而设计的发电机。;Dynamo designed for reliable electrical power generation for the vehicle.;1800A410;Alternator;发电机;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
1255;专为可靠控制电气系统而设计的发电机继电器。;Dynamo Relay designed for dependable electrical system control.;1800A380;Alternator relay;发电机继电器;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
1256;设计用于高效发电的发电机电枢。;Dynamo Armature designed for efficient electrical power generation.;LEA0646;Alternator winding;发电机绕组;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
1257;专为可靠地将动力传输至发电机而设计的发电机皮带。;Dynamo Belt designed for reliable power transfer to the dynamo.;6PK1670;Alternator belt;发电机皮带;Engine / Belts;发动机/皮带;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;皮带;belt;河北省巨鹿县东风内燃机配件厂;Hebei Province Julu County Dongfeng Internal Combustion Engine Parts Factory;0319-4333791;
1258;专为高效清洁挡风玻璃而设计的雨刮电机。;Windshield Wiper Motor designed for efficient windshield clearing.;8250B259;Windshield wiper motor;雨刷电机;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1259;专为实现最佳挡风玻璃清洁效果和视野清晰度而设计的雨刮片。;Windshield Wiper Blades designed for optimal windshield cleaning and visibility.;8250A778;Windshield wiper blade;雨刷片;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1260;优质主制动缸，设计用于实现最佳液压和可靠的制动性能。;Premium Master Brake Cylinder designed for optimal hydraulic pressure and reliable braking performance.;2345A053;Master cylinder;主缸;Braking System;制动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1261;离合器缸，一种精密配合的部件，用于实现高效的离合器操作。;Clutch Cylinder, a precision-fit component for efficient clutch operation.;4625A417;Clutch cylinder;离合器液压缸;Clutch System;离合器系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1262;前挡风玻璃下釉料，经过精心设计，可提供安全且耐候的密封。;Front Windshield Underglaze, engineered to provide a secure and weather-resistant seal.;6102B750;Front windshield;前挡风玻璃;Body / Glass;主体/玻璃;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;;#VALUE!;;;;
1263;左前内挡泥板，OEM品质的替换件，可提供最佳的轮拱保护。;Front Left Inner Fender, an OEM-quality replacement for optimal wheel well protection.;3817A313;Front left CV joint;左前等速万向节;Drivetrain;传动系统;China;中国;新的;New;Original;Mitsubishi;三菱;L-200;L-200;2 018,00;球笼;ball cage;瑞安市凯业汽车零部件有限公司;Ruian Kaiye Auto Parts Co., Ltd.;86-0577-65361965;http://www.ruiankaiye.com/
